Cemetary,Code
Alford,ALFD
American Revolutioin Memorial Park,ARMP
Arnett-Lowder,ARLO
Barrett/Bussel,BABU
Burris/Hendricks/Hendrickson,BUHE
Caldwell,CALD
Caudell/Simmons/Cook,CSCK
Cauldwell/Jackson,CDJA
Chappel/Shore,CHSH
Cook,COOK
Cooper,COOP
Curry's Chapel,CURC
Delaney,DLNY
Eastes Harvey,EAHY
Eden Chapel/Muth,EDMU
Eden Church,EDCH
Fish,FISH
Gard,GARD
Gilboa,GLBA
Gillium Chapel,GILC
Griffith,GRIF
Harlan,HRLN
Haskitt,HSKT
Hays,HAYS
Hinchman,HNMN
Langenberger,LNBR
Little Sugar Creek,LSUC
Lizz Town/Lizton,LIZZ
Maple Grove/Olvey/Jackson,MGOJ
McCordsville/I.O.O.F.,MCCO
McCray,MCCY
McNamee,MCNE
Mt. Carmel,MTCL
Mt. Comfort,MTCT
Mt. Gilead/Reeves/Walker,MGRW
Mt. Lebanon,MTLN
New Palestine (Crown Point),NPCP
Old Greenfield,OGRN
Park,PARK
Pauper,PAPR
Philadelphia,PHLA
Pleasant Grove,PLGO
Pleasant View,PLVW
Pratt,PRTT
Reeves/Price,REPR
Richman,RCMN
Schildmeier,SDMR
Scotton,SCTN
Shiloh,SHOH
Shramm,SHRM
Simmons,SIMS
Six Mile,SXMI
Snider,SNDR
Steele,STLE
Sugar Creek,SGCK
Westland,WTLD
Willett,WILT
Willow Branch/Pleasant Hill,WBPH
Wynn,WYNN
Zion Lutheran,ZNLN
