,inFiles,cemName,cemCode,headstoneClass
Row1,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Alford\meanshift1.tif,Alford,ALFD,1
Row2,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\ArnettLowder\meanshift1.tif,ArnettLowder,ARLO,2
Row3,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\BarrettBussel\meanshift1.tif,BarrettBussel,BABU,0
Row4,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\BurrisHendricks\meanshift1.tif,BurrisHendricks,BUHE,2
Row5,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Caldwell\meanshift1.tif,Caldwell,CALD,2
Row6,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\CaudellSimmons\meanshift1.tif,CaudellSimmons,CSCK,0
Row7,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\CauldwellJackson\meanshift1.tif,CauldwellJackson,CDJA,2
Row8,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\ChappelShore\meanshift1.tif,ChappelShore,CHSH,3
Row9,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Cook\meanshift1.tif,Cook,COOK,3
Row10,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Cooper\meanshift1.tif,Cooper,COOP,2
Row11,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Curry\meanshift1.tif,Curry,CURC,2
Row12,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Delaney\meanshift1.tif,Delaney,DLNY,1
Row13,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\EastesHarvey\meanshift1.tif,EastesHarvey,EAHY,1
Row14,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\EdenChapel\meanshift1.tif,EdenChapel,EDMU,1
Row15,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Fish\meanshift1.tif,Fish,FISH,0
Row16,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Gard\meanshift1.tif,Gard,GARD,3
Row17,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Gilboa\meanshift1.tif,Gilboa,GLBA,4
Row18,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Gillium\meanshift1.tif,Gillium,GILC,1
Row19,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Griffith\meanshift1.tif,Griffith,GRIF,1
Row20,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Haskitt\meanshift1.tif,Haskitt,HSKT,4
Row21,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Hays\meanshift1.tif,Hays,HAYS,2
Row22,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Hinchman\meanshift1.tif,Hinchman,HNMN,1
Row23,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Langenberger\meanshift1.tif,Langenberger,LNBR,2
Row24,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\LittleSugarCreek\meanshift1.tif,LittleSugarCreek,LSUC,1
Row25,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Lizton\meanshift1.tif,Lizton,LIZZ,1
Row26,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Maple\meanshift1.tif,Maple,MGOJ,4
Row27,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\McCray\meanshift1.tif,McCray,MCCY,1
Row28,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\McNamee\meanshift1.tif,McNamee,MCNE,1
Row29,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\MtCarmel\meanshift1.tif,MtCarmel,MTCL,2
Row30,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\MtGilead\meanshift1.tif,MtGilead,MGRW,4
Row31,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\MtLebanon\meanshift1.tif,MtLebanon,MTLN,3
Row32,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\NewPalestine\meanshift1.tif,NewPalestine,NPCP,1
Row33,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Pauper\meanshift1.tif,Pauper,PAPR,4
Row34,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Philadelphia\meanshift1.tif,Philadelphia,PHLA,2
Row35,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\PleasantGrove\meanshift1.tif,PleasantGrove,PLGO,2
Row36,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\PleasantView\meanshift1.tif,PleasantView,PLVW,2
Row37,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Pratt\meanshift1.tif,Pratt,PRTT,3
Row38,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\ReevesPrice\meanshift1.tif,ReevesPrice,REPR,1
Row39,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Richman\meanshift1.tif,Richman,RCMN,1
Row40,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Schildmeier\meanshift1.tif,Schildmeier,SDMR,2
Row41,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Scotton\meanshift1.tif,Scotton,SCTN,2
Row42,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Shiloh\meanshift1.tif,Shiloh,SHOH,1
Row43,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Shramm\meanshift1.tif,Shramm,SHRM,2
Row44,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Simmons\meanshift1.tif,Simmons,SIMS,2
Row45,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\SixMile\meanshift1.tif,SixMile,SXMI,1
Row46,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Snider\meanshift1.tif,Snider,SNDR,2
Row47,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Steele\meanshift1.tif,Steele,STLE,2
Row48,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\SugarCreek\meanshift1.tif,SugarCreek,SGCK,1
Row49,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Willett\meanshift1.tif,Willett,WILT,2
Row50,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\WillowBranch\meanshift1.tif,WillowBranch,WBPH,1
Row51,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Wynn\meanshift1.tif,Wynn,WYNN,3
Row52,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Zion\meanshift1.tif,Zion,ZNLN,2
Row53,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Harlan\meanshift1.tif,Harlan,HRLN,2
Row54,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Park\meanshift1.tif,Park,PARK,2
Row55,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\McCordsville1\meanshiftSmooth1.tif,McCordsville,MCCO,2
Row56,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\American\meanshift1.tif,American,ARMP,0
Row57,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\EdenChurch\meanshift1.tif,EdenChurch,EDCH,4
Row58,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\OldGreenfield\meanshift1.tif,OldGreenfield,OGRN,2
Row59,C:\Users\aroberts\Documents\Code\raster_classification\Cemetaries\Outputs\Westland\meanshift1.tif,Westland,WTLD,1
